  0.5275500E+07   0.1511960E+50   0.1348120E+50 5000
  0.5020600E+07   0.1239030E+50   0.1061410E+50 5040
  0.4974000E+07   0.9804430E+49   0.8128990E+49 5080
  0.4326500E+07   0.1043060E+50   0.8575720E+49 5120
  0.3772100E+07   0.1347190E+50   0.1122360E+50 5160
  0.3316200E+07   0.1876580E+50   0.1591970E+50 5200
  0.2767700E+07   0.2797780E+50   0.2427000E+50 5240
  0.1909200E+07   0.3778880E+50   0.3322920E+50 5280
  0.1158500E+07   0.6955120E+50   0.6416070E+50 5320
  0.9956800E+06   0.7856500E+50   0.7339610E+50 5360
  0.7587200E+06   0.5835210E+50   0.5333050E+50 5400
  0.5972500E+06   0.7413190E+50   0.6980140E+50 5440
  0.4954200E+06   0.9226260E+50   0.8898160E+50 5480
  0.4026500E+06   0.1140410E+51   0.1125210E+51 5520
  0.3580400E+06   0.1002500E+51   0.9801220E+50 5560
